accuracy,precision,recall,f1,mcc,balanced_accuracy,gmean,fbeta_2,brier,roc_auc,pr_auc,scenario,model,fold
0.9993679886237953,0.9305555555555556,0.6836734693877551,0.788235294117647,0.7973341964276419,0.8417927693737222,0.826809139730463,0.7219827586206896,0.0005661866367903372,0.923946815241933,0.7860662885692228,sem_balanceamento,svm_rbf,5
0.9982619992275552,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0017380007724447878,0.5,0.0017380007724447878,smote,dummy,1
0.9982619992275552,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0017380007724447878,0.5,0.0017380007724447878,smote,dummy,2
0.9982795245869981,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0017204754130018785,0.5,0.0017204754130018785,smote,dummy,3
0.9982795245869981,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0017204754130018785,0.5,0.0017204754130018785,smote,dummy,4
0.9982795245869981,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0017204754130018785,0.5,0.0017204754130018785,smote,dummy,5
0.9772831010147116,0.06545454545454546,0.9090909090909091,0.12211668928086838,0.24058563631854807,0.9432463672655009,0.9426277706690208,0.2540937323546019,0.022311736126869926,0.9884431604794582,0.7075578564945477,smote,logistic_regression,1
0.9741406551736245,0.06017925736235595,0.9494949494949495,0.11318482841661649,0.2355905823610032,0.9618392567498313,0.9617600396686613,0.24004085801838612,0.024899066826081034,0.9820292864099909,0.7271366843986606,smote,logistic_regression,2
0.9732624076122259,0.056074766355140186,0.9183673469387755,0.10569583088667057,0.2233256906191508,0.945862181462283,0.9454624796337048,0.22533800701051576,0.02511653169553806,0.9779862052975878,0.7278079636728642,smote,logistic_regression,3
0.9742630922912168,0.057567917205692105,0.9081632653061225,0.10827250608272507,0.22508369870033657,0.9412701383597598,0.9406877315689898,0.22961816305469557,0.02388806499769974,0.9638942434860444,0.7836138170851511,smote,logistic_regression,4
0.9746668773371254,0.05669083717864205,0.8775510204081632,0.1065015479876161,0.2194036211062126,0.9261926355755885,0.9249144779212611,0.2252488213724463,0.023329990298106687,0.9775740977149877,0.7096438224368389,smote,logistic_regression,5
0.987553105579158,0.10594315245478036,0.8282828282828283,0.18785796105383734,0.29362337847164605,0.9080566138318983,0.904545718614059,0.3504273504273504,0.012311474580424345,0.9577840554925832,0.68582261113236,smote,svm_rbf,1
0.9834802148800955,0.08644400785854617,0.8888888888888888,0.1575649059982095,0.2743241798558148,0.9362668948955286,0.9350673895629927,0.31117397454031115,0.01224491259826058,0.9650310501742891,0.6547756187148588,smote,svm_rbf,2
0.9850248415582592,0.09452201933404941,0.8979591836734694,0.17103984450923226,0.288648572303598,0.9415670388585239,0.9405566668898628,0.3325774754346183,0.01385187612438074,0.9851059851336205,0.7399147983970522,smote,svm_rbf,3
0.9860781938519337,0.1010332950631458,0.8979591836734694,0.18163054695562436,0.2986216926676394,0.9420946227003895,0.9410602218470878,0.34837688044338877,0.011311424937706182,0.9604678197185,0.6426805467742065,smote,svm_rbf,4
0.9851477326591879,0.08991228070175439,0.8367346938775511,0.16237623762376238,0.2714509716693451,0.911069103792969,0.9080315563837251,0.31441717791411045,0.013621378247935629,0.9428602473470966,0.5979298237219942,smote,svm_rbf,5
0.9982619992275552,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0017380007724447878,0.5,0.0017380007724447878,undersampling,dummy,1
0.9982619992275552,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0017380007724447878,0.5,0.0017380007724447878,undersampling,dummy,2
0.9982795245869981,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0017204754130018785,0.5,0.0017204754130018785,undersampling,dummy,3
0.9982795245869981,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0017204754130018785,0.5,0.0017204754130018785,undersampling,dummy,4
0.9982795245869981,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0017204754130018785,0.5,0.0017204754130018785,undersampling,dummy,5
